Rule Name,ID,Policy Name,Enabled
Time_Bound,0050568B-9012-0ed3-0000-000268465155,Lab-FTD,True
Allow HTTPS,0050568B-9012-0ed3-0000-000268435456,Lab-FTD,True
URL-Test,0050568B-9012-0ed3-0000-000268436482,Lab-FTD,False
DNS Traffic,0050568B-9012-0ed3-0000-000268435458,Lab-FTD,True
New-Rule-#699,0050568B-9012-0ed3-0000-000268466176,Lab-FTD,False
Block All,0050568B-9012-0ed3-0000-000268435457,Lab-FTD,True
Github_Access_10_0_0_0/8,0050568B-9012-0ed3-0000-000268465057,Lab-FTD-Test,True
New_Rule_#2334,0050568B-9012-0ed3-0000-000268466177,Lab-FTD-Test,False
